{'timestamp': 1546764049.854071, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=2.01, load10=3.93, load15=4.88, running=1, procs=521), 'memory/total': Memory(label='total', total=1501952, used=584144, buffer_cache=148876, free=768932, map=41060)}
{'timestamp': 1546764051.273388, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=4.22, load10=7.01, load15=6.85, running=1, procs=520), 'memory/total': Memory(label='total', total=1501952, used=523416, buffer_cache=71248, free=907288, map=44824)}
{'disk/total': Disk(label='sda', io_read=1, bytes_read=4096, time_spent_read=0.0319999999992433, io_write=0, bytes_write=0, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=1235, recv_packets=14, recv_errs=0, recv_drop=0, send_bytes=3906, send_packets=21, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.20080321285140562, nice=0.0, system=0.20080321285140562, idle=98.79518072289157, iowait=0.8032128514056225, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.20080321285140562, nice=0.0, system=0.20080321285140562, idle=98.79518072289157, iowait=0.8032128514056225, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=1, bytes_read=4096, time_spent_read=0.0319999999992433, io_write=0, bytes_write=0, time_spent_write=0.0), 'timestamp': 1546764054.861156, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.85, load10=3.86, load15=4.86, running=1, procs=521), 'memory/total': Memory(label='total', total=1501952, used=584176, buffer_cache=148876, free=768900, map=41204), 'net/ens33': Network(label='ens33', recv_bytes=1235, recv_packets=14, recv_errs=0, recv_drop=0, send_bytes=3906, send_packets=21, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=4, bytes_read=32768, time_spent_read=0.07200000000011642, io_write=17, bytes_write=86016, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=1188, recv_packets=14, recv_errs=0, recv_drop=0, send_bytes=3447, send_packets=20, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.0, nice=0.0, system=0.0, idle=98.582995951417, iowait=1.417004048582996, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.0, nice=0.0, system=0.0, idle=98.582995951417, iowait=1.417004048582996, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=4, bytes_read=32768, time_spent_read=0.07200000000011642, io_write=17, bytes_write=86016, time_spent_write=0.0), 'timestamp': 1546764056.279381, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=3.88, load10=6.89, load15=6.82, running=2, procs=520), 'memory/total': Memory(label='total', total=1501952, used=523580, buffer_cache=71240, free=907132, map=44912), 'net/ens33': Network(label='ens33', recv_bytes=1188, recv_packets=14, recv_errs=0, recv_drop=0, send_bytes=3447, send_packets=20, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=8, bytes_read=40960, time_spent_read=0.18000000000029104, io_write=4, bytes_write=77824, time_spent_write=0.008000000001629815), 'net/total': Network(label='ens33', recv_bytes=40611067, recv_packets=27260, recv_errs=0, recv_drop=0, send_bytes=105456, send_packets=1490, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=1.4285714285714286, nice=0.0, system=3.2653061224489797, idle=90.61224489795919, iowait=3.2653061224489797, irq=0.0, softirq=1.4285714285714286), 'cpu/cpu0': CPU(label='cpu0', user=1.4285714285714286, nice=0.0, system=3.2653061224489797, idle=90.61224489795919, iowait=3.2653061224489797, irq=0.0, softirq=1.4285714285714286), 'disk/sda': Disk(label='sda', io_read=8, bytes_read=40960, time_spent_read=0.18000000000029104, io_write=4, bytes_write=77824, time_spent_write=0.008000000001629815), 'timestamp': 1546764059.842339, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.7, load10=3.8, load15=4.83, running=3, procs=523), 'memory/total': Memory(label='total', total=1501952, used=585184, buffer_cache=186648, free=730120, map=41228), 'net/ens33': Network(label='ens33', recv_bytes=40611067, recv_packets=27260, recv_errs=0, recv_drop=0, send_bytes=105456, send_packets=1490, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=126, bytes_read=622592, time_spent_read=1.9839999999985594, io_write=2, bytes_write=53248, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=61537139, recv_packets=43483, recv_errs=0, recv_drop=0, send_bytes=83064400, send_packets=43322, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=2.032520325203252, nice=0.0, system=9.75609756097561, idle=63.61788617886179, iowait=21.54471544715447, irq=0.0, softirq=3.048780487804878), 'cpu/cpu0': CPU(label='cpu0', user=2.032520325203252, nice=0.0, system=9.75609756097561, idle=63.61788617886179, iowait=21.54471544715447, irq=0.0, softirq=3.048780487804878), 'disk/sda': Disk(label='sda', io_read=126, bytes_read=622592, time_spent_read=1.9839999999985594, io_write=2, bytes_write=53248, time_spent_write=0.0), 'timestamp': 1546764061.274309, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=3.57, load10=6.77, load15=6.78, running=2, procs=522), 'memory/total': Memory(label='total', total=1501952, used=525696, buffer_cache=128524, free=847732, map=44944), 'net/ens33': Network(label='ens33', recv_bytes=61537139, recv_packets=43483, recv_errs=0, recv_drop=0, send_bytes=83064400, send_packets=43322, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=126, bytes_read=823296, time_spent_read=3.3799999999991996, io_write=6, bytes_write=1171456, time_spent_write=0.8600000000005821), 'net/total': Network(label='ens33', recv_bytes=20857642, recv_packets=14056, recv_errs=0, recv_drop=0, send_bytes=154964, send_packets=916, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=7.070707070707071, nice=0.0, system=4.040404040404041, idle=50.101010101010104, iowait=38.18181818181818, irq=0.0, softirq=0.6060606060606061), 'cpu/cpu0': CPU(label='cpu0', user=7.070707070707071, nice=0.0, system=4.040404040404041, idle=50.101010101010104, iowait=38.18181818181818, irq=0.0, softirq=0.6060606060606061), 'disk/sda': Disk(label='sda', io_read=126, bytes_read=823296, time_spent_read=3.3799999999991996, io_write=6, bytes_write=1171456, time_spent_write=0.8600000000005821), 'timestamp': 1546764064.859035, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.56, load10=3.73, load15=4.81, running=4, procs=524), 'memory/total': Memory(label='total', total=1501952, used=586472, buffer_cache=206312, free=709168, map=41232), 'net/ens33': Network(label='ens33', recv_bytes=20857642, recv_packets=14056, recv_errs=0, recv_drop=0, send_bytes=154964, send_packets=916, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=49, bytes_read=299008, time_spent_read=1.2640000000010332, io_write=6, bytes_write=2109440, time_spent_write=0.20799999999871943), 'net/total': Network(label='ens33', recv_bytes=83292, recv_packets=74, recv_errs=0, recv_drop=0, send_bytes=5902, send_packets=30, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.6072874493927125, nice=0.0, system=0.20242914979757085, idle=76.92307692307692, iowait=22.267206477732792, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.6072874493927125, nice=0.0, system=0.20242914979757085, idle=76.92307692307692, iowait=22.267206477732792, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=49, bytes_read=299008, time_spent_read=1.2640000000010332, io_write=6, bytes_write=2109440, time_spent_write=0.20799999999871943), 'timestamp': 1546764066.283869, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=3.28, load10=6.66, load15=6.74, running=1, procs=520), 'memory/total': Memory(label='total', total=1501952, used=526340, buffer_cache=126612, free=849000, map=44944), 'net/ens33': Network(label='ens33', recv_bytes=83292, recv_packets=74, recv_errs=0, recv_drop=0, send_bytes=5902, send_packets=30, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=535, bytes_read=7278592, time_spent_read=5.7039999999997235, io_write=100, bytes_write=36057088, time_spent_write=62.3119999999908), 'net/total': Network(label='ens33', recv_bytes=5912, recv_packets=31, recv_errs=0, recv_drop=0, send_bytes=7789, send_packets=46, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=56.09756097560975, nice=0.0, system=6.504065040650406, idle=0.0, iowait=36.58536585365854, irq=0.0, softirq=0.8130081300813008), 'cpu/cpu0': CPU(label='cpu0', user=56.09756097560975, nice=0.0, system=6.504065040650406, idle=0.0, iowait=36.58536585365854, irq=0.0, softirq=0.8130081300813008), 'disk/sda': Disk(label='sda', io_read=535, bytes_read=7278592, time_spent_read=5.7039999999997235, io_write=100, bytes_write=36057088, time_spent_write=62.3119999999908), 'timestamp': 1546764069.868849, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.6, load10=3.7, load15=4.79, running=3, procs=540), 'memory/total': Memory(label='total', total=1501952, used=660068, buffer_cache=260708, free=581176, map=57308), 'net/ens33': Network(label='ens33', recv_bytes=5912, recv_packets=31, recv_errs=0, recv_drop=0, send_bytes=7789, send_packets=46, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=11, bytes_write=5316608, time_spent_write=0.015999999988707714), 'net/total': Network(label='ens33', recv_bytes=1038, recv_packets=12, recv_errs=0, recv_drop=0, send_bytes=3298, send_packets=18, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.20161290322580644, nice=0.0, system=0.4032258064516129, idle=99.19354838709677, iowait=0.20161290322580644, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.20161290322580644, nice=0.0, system=0.4032258064516129, idle=99.19354838709677, iowait=0.20161290322580644, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=11, bytes_write=5316608, time_spent_write=0.015999999988707714), 'timestamp': 1546764071.29085, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=3.02, load10=6.55, load15=6.71, running=1, procs=520), 'memory/total': Memory(label='total', total=1501952, used=526280, buffer_cache=123536, free=852136, map=44944), 'net/ens33': Network(label='ens33', recv_bytes=1038, recv_packets=12, recv_errs=0, recv_drop=0, send_bytes=3298, send_packets=18, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=363, bytes_read=5812224, time_spent_read=4.472000000001572, io_write=138, bytes_write=80818176, time_spent_write=15.21600000000035), 'net/total': Network(label='ens33', recv_bytes=6429, recv_packets=52, recv_errs=0, recv_drop=0, send_bytes=126399, send_packets=129, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=59.356136820925556, nice=0.0, system=5.030181086519114, idle=0.4024144869215292, iowait=33.40040241448692, irq=0.0, softirq=1.8108651911468814), 'cpu/cpu0': CPU(label='cpu0', user=59.356136820925556, nice=0.0, system=5.030181086519114, idle=0.4024144869215292, iowait=33.40040241448692, irq=0.0, softirq=1.8108651911468814), 'disk/sda': Disk(label='sda', io_read=363, bytes_read=5812224, time_spent_read=4.472000000001572, io_write=138, bytes_write=80818176, time_spent_write=15.21600000000035), 'timestamp': 1546764074.874516, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.63, load10=3.67, load15=4.78, running=2, procs=599), 'memory/total': Memory(label='total', total=1501952, used=724124, buffer_cache=261136, free=516692, map=57828), 'net/ens33': Network(label='ens33', recv_bytes=6429, recv_packets=52, recv_errs=0, recv_drop=0, send_bytes=126399, send_packets=129, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=5, bytes_read=65536, time_spent_read=0.03600000000005821, io_write=14, bytes_write=5271552, time_spent_write=0.01600000000325963), 'net/total': Network(label='ens33', recv_bytes=99143, recv_packets=87, recv_errs=0, recv_drop=0, send_bytes=5851, send_packets=37, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.6048387096774194, nice=0.0, system=0.0, idle=98.38709677419355, iowait=1.0080645161290323, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.6048387096774194, nice=0.0, system=0.0, idle=98.38709677419355, iowait=1.0080645161290323, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=5, bytes_read=65536, time_spent_read=0.03600000000005821, io_write=14, bytes_write=5271552, time_spent_write=0.01600000000325963), 'timestamp': 1546764076.298116, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=2.78, load10=6.44, load15=6.67, running=1, procs=520), 'memory/total': Memory(label='total', total=1501952, used=526308, buffer_cache=119544, free=856100, map=44944), 'net/ens33': Network(label='ens33', recv_bytes=99143, recv_packets=87, recv_errs=0, recv_drop=0, send_bytes=5851, send_packets=37, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=165, bytes_read=2011136, time_spent_read=3.0759999999991123, io_write=0, bytes_write=0, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=10658, recv_packets=62, recv_errs=0, recv_drop=0, send_bytes=35039, send_packets=73, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=52.48380129589633, nice=0.0, system=6.479481641468682, idle=28.293736501079913, iowait=12.742980561555076, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=52.48380129589633, nice=0.0, system=6.479481641468682, idle=28.293736501079913, iowait=12.742980561555076, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=165, bytes_read=2011136, time_spent_read=3.0759999999991123, io_write=0, bytes_write=0, time_spent_write=0.0), 'timestamp': 1546764079.882207, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.5, load10=3.61, load15=4.75, running=14, procs=670), 'memory/total': Memory(label='total', total=1501952, used=834564, buffer_cache=257288, free=410100, map=58128), 'net/ens33': Network(label='ens33', recv_bytes=10658, recv_packets=62, recv_errs=0, recv_drop=0, send_bytes=35039, send_packets=73, send_errs=0, send_drop=0)}
