{'timestamp': 1546766514.176002, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=1.3, load10=8.57, load15=11.22, running=1, procs=519), 'memory/total': Memory(label='total', total=1501952, used=565652, buffer_cache=122872, free=813428, map=46784)}
{'timestamp': 1546766514.565134, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.25, load10=6.43, load15=7.95, running=1, procs=519), 'memory/total': Memory(label='total', total=1501952, used=537024, buffer_cache=133840, free=831088, map=49732)}
{'disk/total': Disk(label='sda', io_read=1, bytes_read=4096, time_spent_read=0.11200000000098953, io_write=2, bytes_write=12288, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=1409, recv_packets=17, recv_errs=0, recv_drop=0, send_bytes=3956, send_packets=22, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.20161290322580644, nice=0.0, system=0.0, idle=97.58064516129032, iowait=2.217741935483871, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.20161290322580644, nice=0.0, system=0.0, idle=97.58064516129032, iowait=2.217741935483871, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=1, bytes_read=4096, time_spent_read=0.11200000000098953, io_write=2, bytes_write=12288, time_spent_write=0.0), 'timestamp': 1546766519.166541, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=1.19, load10=8.43, load15=11.16, running=11, procs=519), 'memory/total': Memory(label='total', total=1501952, used=565644, buffer_cache=122880, free=813428, map=46820), 'net/ens33': Network(label='ens33', recv_bytes=1409, recv_packets=17, recv_errs=0, recv_drop=0, send_bytes=3956, send_packets=22, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=2, bytes_read=28672, time_spent_read=0.0319999999992433, io_write=2, bytes_write=24576, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=1343, recv_packets=16, recv_errs=0, recv_drop=0, send_bytes=4022, send_packets=23, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.4024144869215292, nice=0.0, system=0.0, idle=99.3963782696177, iowait=0.2012072434607646, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.4024144869215292, nice=0.0, system=0.0, idle=99.3963782696177, iowait=0.2012072434607646, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=2, bytes_read=28672, time_spent_read=0.0319999999992433, io_write=2, bytes_write=24576, time_spent_write=0.0), 'timestamp': 1546766519.568456, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.15, load10=6.32, load15=7.9, running=1, procs=519), 'memory/total': Memory(label='total', total=1501952, used=537168, buffer_cache=133852, free=830932, map=49844), 'net/ens33': Network(label='ens33', recv_bytes=1343, recv_packets=16, recv_errs=0, recv_drop=0, send_bytes=4022, send_packets=23, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=122, bytes_read=917504, time_spent_read=1.7879999999968277, io_write=0, bytes_write=0, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=55555737, recv_packets=37331, recv_errs=0, recv_drop=0, send_bytes=142933, send_packets=1976, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=2.42914979757085, nice=0.0, system=6.477732793522267, idle=62.75303643724696, iowait=26.923076923076923, irq=0.0, softirq=1.417004048582996), 'cpu/cpu0': CPU(label='cpu0', user=2.42914979757085, nice=0.0, system=6.477732793522267, idle=62.75303643724696, iowait=26.923076923076923, irq=0.0, softirq=1.417004048582996), 'disk/sda': Disk(label='sda', io_read=122, bytes_read=917504, time_spent_read=1.7879999999968277, io_write=0, bytes_write=0, time_spent_write=0.0), 'timestamp': 1546766524.16193, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=1.1, load10=8.29, load15=11.1, running=11, procs=519), 'memory/total': Memory(label='total', total=1501952, used=568176, buffer_cache=174692, free=759084, map=46820), 'net/ens33': Network(label='ens33', recv_bytes=55555737, recv_packets=37331, recv_errs=0, recv_drop=0, send_bytes=142933, send_packets=1976, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=106, bytes_read=913408, time_spent_read=2.280000000002474, io_write=0, bytes_write=0, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=55692379, recv_packets=39250, recv_errs=0, recv_drop=0, send_bytes=71762362, send_packets=39233, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=2.0242914979757085, nice=0.0, system=7.08502024291498, idle=62.550607287449395, iowait=25.506072874493928, irq=0.0, softirq=2.834008097165992), 'cpu/cpu0': CPU(label='cpu0', user=2.0242914979757085, nice=0.0, system=7.08502024291498, idle=62.550607287449395, iowait=25.506072874493928, irq=0.0, softirq=2.834008097165992), 'disk/sda': Disk(label='sda', io_read=106, bytes_read=913408, time_spent_read=2.280000000002474, io_write=0, bytes_write=0, time_spent_write=0.0), 'timestamp': 1546766524.57345, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.14, load10=6.23, load15=7.87, running=1, procs=521), 'memory/total': Memory(label='total', total=1501952, used=539404, buffer_cache=185680, free=776868, map=49844), 'net/ens33': Network(label='ens33', recv_bytes=55692379, recv_packets=39250, recv_errs=0, recv_drop=0, send_bytes=71762362, send_packets=39233, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=248, bytes_read=2695168, time_spent_read=7.2960000000020955, io_write=6, bytes_write=1150976, time_spent_write=0.23999999999068677), 'net/total': Network(label='ens33', recv_bytes=91732, recv_packets=128, recv_errs=0, recv_drop=0, send_bytes=17597, send_packets=89, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.6036217303822937, nice=0.0, system=1.8108651911468814, idle=0.0, iowait=97.58551307847083, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.6036217303822937, nice=0.0, system=1.8108651911468814, idle=0.0, iowait=97.58551307847083, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=248, bytes_read=2695168, time_spent_read=7.2960000000020955, io_write=6, bytes_write=1150976, time_spent_write=0.23999999999068677), 'timestamp': 1546766529.175152, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=1.09, load10=8.17, load15=11.04, running=3, procs=519), 'memory/total': Memory(label='total', total=1501952, used=570912, buffer_cache=173848, free=757192, map=46820), 'net/ens33': Network(label='ens33', recv_bytes=91732, recv_packets=128, recv_errs=0, recv_drop=0, send_bytes=17597, send_packets=89, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=508, bytes_read=4702208, time_spent_read=11.21600000000035, io_write=3, bytes_write=65536, time_spent_write=0.17999999999301508), 'net/total': Network(label='ens33', recv_bytes=86360, recv_packets=104, recv_errs=0, recv_drop=0, send_bytes=96667, send_packets=121, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=4.67479674796748, nice=0.0, system=4.2682926829268295, idle=0.0, iowait=91.0569105691057, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=4.67479674796748, nice=0.0, system=4.2682926829268295, idle=0.0, iowait=91.0569105691057, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=508, bytes_read=4702208, time_spent_read=11.21600000000035, io_write=3, bytes_write=65536, time_spent_write=0.17999999999301508), 'timestamp': 1546766529.593847, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.21, load10=6.16, load15=7.84, running=1, procs=519), 'memory/total': Memory(label='total', total=1501952, used=543788, buffer_cache=186040, free=772124, map=49844), 'net/ens33': Network(label='ens33', recv_bytes=86360, recv_packets=104, recv_errs=0, recv_drop=0, send_bytes=96667, send_packets=121, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=996, bytes_read=16592896, time_spent_read=11.847999999998137, io_write=67, bytes_write=20135936, time_spent_write=54.83199999999488), 'net/total': Network(label='ens33', recv_bytes=9341, recv_packets=37, recv_errs=0, recv_drop=0, send_bytes=7961, send_packets=49, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=20.689655172413794, nice=0.0, system=6.085192697768763, idle=0.0, iowait=72.61663286004057, irq=0.0, softirq=0.6085192697768763), 'cpu/cpu0': CPU(label='cpu0', user=20.689655172413794, nice=0.0, system=6.085192697768763, idle=0.0, iowait=72.61663286004057, irq=0.0, softirq=0.6085192697768763), 'disk/sda': Disk(label='sda', io_read=996, bytes_read=16592896, time_spent_read=11.847999999998137, io_write=67, bytes_write=20135936, time_spent_write=54.83199999999488), 'timestamp': 1546766534.214557, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=1.16, load10=8.07, load15=10.99, running=3, procs=536), 'memory/total': Memory(label='total', total=1501952, used=620000, buffer_cache=226896, free=655056, map=60896), 'net/ens33': Network(label='ens33', recv_bytes=9341, recv_packets=37, recv_errs=0, recv_drop=0, send_bytes=7961, send_packets=49, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=55, bytes_read=335872, time_spent_read=1.2880000000004657, io_write=11, bytes_write=3231744, time_spent_write=0.04000000000814907), 'net/total': Network(label='ens33', recv_bytes=1235, recv_packets=14, recv_errs=0, recv_drop=0, send_bytes=3746, send_packets=20, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=1.0080645161290323, nice=0.0, system=0.20161290322580644, idle=76.41129032258064, iowait=22.379032258064516, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=1.0080645161290323, nice=0.0, system=0.20161290322580644, idle=76.41129032258064, iowait=22.379032258064516, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=55, bytes_read=335872, time_spent_read=1.2880000000004657, io_write=11, bytes_write=3231744, time_spent_write=0.04000000000814907), 'timestamp': 1546766534.629982, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.11, load10=6.06, load15=7.79, running=5, procs=519), 'memory/total': Memory(label='total', total=1501952, used=544544, buffer_cache=183088, free=774320, map=49856), 'net/ens33': Network(label='ens33', recv_bytes=1235, recv_packets=14, recv_errs=0, recv_drop=0, send_bytes=3746, send_packets=20, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=300, bytes_read=4157440, time_spent_read=3.9400000000023283, io_write=130, bytes_write=85626880, time_spent_write=12.771999999997206), 'net/total': Network(label='ens33', recv_bytes=4078, recv_packets=30, recv_errs=0, recv_drop=0, send_bytes=7513, send_packets=45, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=58.502024291497975, nice=0.0, system=3.8461538461538463, idle=0.20242914979757085, iowait=35.62753036437247, irq=0.0, softirq=1.8218623481781377), 'cpu/cpu0': CPU(label='cpu0', user=58.502024291497975, nice=0.0, system=3.8461538461538463, idle=0.20242914979757085, iowait=35.62753036437247, irq=0.0, softirq=1.8218623481781377), 'disk/sda': Disk(label='sda', io_read=300, bytes_read=4157440, time_spent_read=3.9400000000023283, io_write=130, bytes_write=85626880, time_spent_write=12.771999999997206), 'timestamp': 1546766539.237793, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=1.31, load10=7.98, load15=10.95, running=4, procs=550), 'memory/total': Memory(label='total', total=1501952, used=671284, buffer_cache=225716, free=604952, map=61172), 'net/ens33': Network(label='ens33', recv_bytes=4078, recv_packets=30, recv_errs=0, recv_drop=0, send_bytes=7513, send_packets=45, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=3, bytes_read=16384, time_spent_read=0.04799999999886495, io_write=14, bytes_write=5308416, time_spent_write=0.01600000000325963), 'net/total': Network(label='ens33', recv_bytes=1007, recv_packets=11, recv_errs=0, recv_drop=0, send_bytes=3854, send_packets=19, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.20161290322580644, nice=0.0, system=0.4032258064516129, idle=98.99193548387096, iowait=0.4032258064516129, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.20161290322580644, nice=0.0, system=0.4032258064516129, idle=98.99193548387096, iowait=0.4032258064516129, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=3, bytes_read=16384, time_spent_read=0.04799999999886495, io_write=14, bytes_write=5308416, time_spent_write=0.01600000000325963), 'timestamp': 1546766539.607381, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.02, load10=5.96, load15=7.75, running=3, procs=519), 'memory/total': Memory(label='total', total=1501952, used=544404, buffer_cache=178480, free=779068, map=49856), 'net/ens33': Network(label='ens33', recv_bytes=1007, recv_packets=11, recv_errs=0, recv_drop=0, send_bytes=3854, send_packets=19, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=336, bytes_read=4308992, time_spent_read=1.59599999999773, io_write=2, bytes_write=122880, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=10459, recv_packets=82, recv_errs=0, recv_drop=0, send_bytes=125345, send_packets=157, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=70.54108216432866, nice=0.0, system=4.809619238476954, idle=23.847695390781563, iowait=0.6012024048096193, irq=0.0, softirq=0.20040080160320642), 'cpu/cpu0': CPU(label='cpu0', user=70.54108216432866, nice=0.0, system=4.809619238476954, idle=23.847695390781563, iowait=0.6012024048096193, irq=0.0, softirq=0.20040080160320642), 'disk/sda': Disk(label='sda', io_read=336, bytes_read=4308992, time_spent_read=1.59599999999773, io_write=2, bytes_write=122880, time_spent_write=0.0), 'timestamp': 1546766544.206566, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=1.37, load10=7.88, load15=10.9, running=4, procs=631), 'memory/total': Memory(label='total', total=1501952, used=790416, buffer_cache=224308, free=487228, map=61528), 'net/ens33': Network(label='ens33', recv_bytes=10459, recv_packets=82, recv_errs=0, recv_drop=0, send_bytes=125345, send_packets=157, send_errs=0, send_drop=0)}
