{'timestamp': 1546762104.67293, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=6.65, load10=2.79, load15=3.21, running=1, procs=523), 'memory/total': Memory(label='total', total=1501952, used=668864, buffer_cache=166528, free=666560, map=71568)}
{'timestamp': 1546762104.680374, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=8.64, load10=3.45, load15=3.54, running=1, procs=522), 'memory/total': Memory(label='total', total=1501952, used=607508, buffer_cache=136872, free=757572, map=59304)}
{'disk/total': Disk(label='sda', io_read=4, bytes_read=393216, time_spent_read=0.0, io_write=3, bytes_write=143360, time_spent_write=0.004000000000814907), 'net/total': Network(label='ens33', recv_bytes=386994, recv_packets=423, recv_errs=0, recv_drop=0, send_bytes=861554, send_packets=712, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=1.4112903225806452, nice=0.0, system=0.8064516129032258, idle=97.78225806451613, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=1.4112903225806452, nice=0.0, system=0.8064516129032258, idle=97.78225806451613, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=4, bytes_read=393216, time_spent_read=0.0, io_write=3, bytes_write=143360, time_spent_write=0.004000000000814907), 'timestamp': 1546762109.679093, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=6.12, load10=2.74, load15=3.19, running=1, procs=531), 'memory/total': Memory(label='total', total=1501952, used=669812, buffer_cache=167332, free=664808, map=71616), 'net/ens33': Network(label='ens33', recv_bytes=386994, recv_packets=423, recv_errs=0, recv_drop=0, send_bytes=861554, send_packets=712, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=12, bytes_read=278528, time_spent_read=0.040000000000873115, io_write=3, bytes_write=110592, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=395052, recv_packets=422, recv_errs=0, recv_drop=0, send_bytes=633436, send_packets=553, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=23.387096774193548, nice=0.0, system=3.225806451612903, idle=72.1774193548387, iowait=0.8064516129032258, irq=0.0, softirq=0.4032258064516129), 'cpu/cpu0': CPU(label='cpu0', user=23.387096774193548, nice=0.0, system=3.225806451612903, idle=72.1774193548387, iowait=0.8064516129032258, irq=0.0, softirq=0.4032258064516129), 'disk/sda': Disk(label='sda', io_read=12, bytes_read=278528, time_spent_read=0.040000000000873115, io_write=3, bytes_write=110592, time_spent_write=0.0), 'timestamp': 1546762109.690883, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=7.95, load10=3.39, load15=3.52, running=3, procs=542), 'memory/total': Memory(label='total', total=1501952, used=650488, buffer_cache=136524, free=714940, map=60376), 'net/ens33': Network(label='ens33', recv_bytes=395052, recv_packets=422, recv_errs=0, recv_drop=0, send_bytes=633436, send_packets=553, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=50, bytes_write=376832, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=1565, recv_packets=20, recv_errs=0, recv_drop=0, send_bytes=3819, send_packets=26, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.20202020202020202, nice=0.0, system=0.20202020202020202, idle=99.5959595959596, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.20202020202020202, nice=0.0, system=0.20202020202020202, idle=99.5959595959596, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=50, bytes_write=376832, time_spent_write=0.0), 'timestamp': 1546762114.686463, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=5.63, load10=2.7, load15=3.17, running=1, procs=523), 'memory/total': Memory(label='total', total=1501952, used=669428, buffer_cache=167340, free=665184, map=71616), 'net/ens33': Network(label='ens33', recv_bytes=1565, recv_packets=20, recv_errs=0, recv_drop=0, send_bytes=3819, send_packets=26, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=232, bytes_read=2318336, time_spent_read=0.5399999999990541, io_write=4, bytes_write=303104, time_spent_write=0.004000000000814907), 'net/total': Network(label='ens33', recv_bytes=7727, recv_packets=58, recv_errs=0, recv_drop=0, send_bytes=13617, send_packets=79, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=77.75551102204409, nice=0.0, system=4.008016032064128, idle=12.224448897795591, iowait=6.012024048096192, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=77.75551102204409, nice=0.0, system=4.008016032064128, idle=12.224448897795591, iowait=6.012024048096192, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=232, bytes_read=2318336, time_spent_read=0.5399999999990541, io_write=4, bytes_write=303104, time_spent_write=0.004000000000814907), 'timestamp': 1546762114.701806, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=7.47, load10=3.37, load15=3.51, running=2, procs=603), 'memory/total': Memory(label='total', total=1501952, used=712516, buffer_cache=138960, free=650476, map=60452), 'net/ens33': Network(label='ens33', recv_bytes=7727, recv_packets=58, recv_errs=0, recv_drop=0, send_bytes=13617, send_packets=79, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=5, bytes_read=40960, time_spent_read=0.0, io_write=8, bytes_write=536576, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=10969, recv_packets=67, recv_errs=0, recv_drop=0, send_bytes=37402, send_packets=80, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=77.2, nice=0.0, system=8.4, idle=14.4, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=77.2, nice=0.0, system=8.4, idle=14.4, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=5, bytes_read=40960, time_spent_read=0.0, io_write=8, bytes_write=536576, time_spent_write=0.0), 'timestamp': 1546762119.66631, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=6.87, load10=3.31, load15=3.49, running=11, procs=684), 'memory/total': Memory(label='total', total=1501952, used=916848, buffer_cache=139580, free=445524, map=60736), 'net/ens33': Network(label='ens33', recv_bytes=10969, recv_packets=67, recv_errs=0, recv_drop=0, send_bytes=37402, send_packets=80, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=1, bytes_read=4096, time_spent_read=0.007999999999810825, io_write=8, bytes_write=544768, time_spent_write=0.00399999999353895), 'net/total': Network(label='ens33', recv_bytes=23934, recv_packets=57, recv_errs=0, recv_drop=0, send_bytes=10192, send_packets=58, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=69.59183673469387, nice=0.0, system=8.16326530612245, idle=22.040816326530614, iowait=0.20408163265306123, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=69.59183673469387, nice=0.0, system=8.16326530612245, idle=22.040816326530614, iowait=0.20408163265306123, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=1, bytes_read=4096, time_spent_read=0.007999999999810825, io_write=8, bytes_write=544768, time_spent_write=0.00399999999353895), 'timestamp': 1546762119.691965, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=5.18, load10=2.65, load15=3.16, running=18, procs=628), 'memory/total': Memory(label='total', total=1501952, used=877104, buffer_cache=168304, free=456544, map=72920), 'net/ens33': Network(label='ens33', recv_bytes=23934, recv_packets=57, recv_errs=0, recv_drop=0, send_bytes=10192, send_packets=58, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=82, bytes_write=679936, time_spent_write=0.18800000000192085), 'net/total': Network(label='ens33', recv_bytes=6224, recv_packets=49, recv_errs=0, recv_drop=0, send_bytes=10695, send_packets=51, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.12955465587045, nice=0.0, system=5.668016194331984, idle=0.0, iowait=0.0, irq=0.0, softirq=0.20242914979757085), 'cpu/cpu0': CPU(label='cpu0', user=94.12955465587045, nice=0.0, system=5.668016194331984, idle=0.0, iowait=0.0, irq=0.0, softirq=0.20242914979757085), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=82, bytes_write=679936, time_spent_write=0.18800000000192085), 'timestamp': 1546762124.650754, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=7.2, load10=3.44, load15=3.54, running=14, procs=684), 'memory/total': Memory(label='total', total=1501952, used=1024704, buffer_cache=139620, free=337628, map=60740), 'net/ens33': Network(label='ens33', recv_bytes=6224, recv_packets=49, recv_errs=0, recv_drop=0, send_bytes=10695, send_packets=51, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=4, bytes_write=262144, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=1126, recv_packets=13, recv_errs=0, recv_drop=0, send_bytes=4756, send_packets=19, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.0, nice=0.0, system=6.0, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=94.0, nice=0.0, system=6.0, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=4, bytes_write=262144, time_spent_write=0.0), 'timestamp': 1546762124.680821, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=6.68, load10=3.01, load15=3.27, running=23, procs=632), 'memory/total': Memory(label='total', total=1501952, used=1006000, buffer_cache=168348, free=327604, map=72920), 'net/ens33': Network(label='ens33', recv_bytes=1126, recv_packets=13, recv_errs=0, recv_drop=0, send_bytes=4756, send_packets=19, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=4, bytes_read=86016, time_spent_read=0.11599999999998545, io_write=2, bytes_write=45056, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=5446, recv_packets=46, recv_errs=0, recv_drop=0, send_bytes=10085, send_packets=49, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.2, nice=0.0, system=5.8, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=94.2, nice=0.0, system=5.8, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=4, bytes_read=86016, time_spent_read=0.11599999999998545, io_write=2, bytes_write=45056, time_spent_write=0.0), 'timestamp': 1546762129.645801, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=8.07, load10=3.68, load15=3.61, running=14, procs=705), 'memory/total': Memory(label='total', total=1501952, used=1088056, buffer_cache=139692, free=274204, map=60824), 'net/ens33': Network(label='ens33', recv_bytes=5446, recv_packets=46, recv_errs=0, recv_drop=0, send_bytes=10085, send_packets=49, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=3, bytes_write=49152, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=2519, recv_packets=25, recv_errs=0, recv_drop=0, send_bytes=5765, send_packets=32, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.0, nice=0.0, system=6.0, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=94.0, nice=0.0, system=6.0, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=3, bytes_write=49152, time_spent_write=0.0), 'timestamp': 1546762129.651183, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=7.59, load10=3.26, load15=3.35, running=17, procs=631), 'memory/total': Memory(label='total', total=1501952, used=1088780, buffer_cache=168364, free=244808, map=72924), 'net/ens33': Network(label='ens33', recv_bytes=2519, recv_packets=25, recv_errs=0, recv_drop=0, send_bytes=5765, send_packets=32, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=4, bytes_write=106496, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=8585, recv_packets=56, recv_errs=0, recv_drop=0, send_bytes=14083, send_packets=84, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=95.81673306772909, nice=0.0, system=3.9840637450199203, idle=0.0, iowait=0.0, irq=0.0, softirq=0.199203187250996), 'cpu/cpu0': CPU(label='cpu0', user=95.81673306772909, nice=0.0, system=3.9840637450199203, idle=0.0, iowait=0.0, irq=0.0, softirq=0.199203187250996), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=4, bytes_write=106496, time_spent_write=0.0), 'timestamp': 1546762134.637979, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=7.94, load10=3.4, load15=3.39, running=18, procs=652), 'memory/total': Memory(label='total', total=1501952, used=1153556, buffer_cache=168368, free=180028, map=72924), 'net/ens33': Network(label='ens33', recv_bytes=8585, recv_packets=56, recv_errs=0, recv_drop=0, send_bytes=14083, send_packets=84, send_errs=0, send_drop=0)}
