{'timestamp': 1546762939.883275, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=0.08, load10=2.61, load15=4.1, running=1, procs=511), 'memory/total': Memory(label='total', total=1501952, used=583276, buffer_cache=134504, free=784172, map=53344)}
{'timestamp': 1546762939.888624, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=0.02, load10=2.05, load15=3.58, running=1, procs=513), 'memory/total': Memory(label='total', total=1501952, used=591604, buffer_cache=124956, free=785392, map=54128)}
{'disk/total': Disk(label='sda', io_read=391, bytes_read=2514944, time_spent_read=1.2959999999984575, io_write=6, bytes_write=167936, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=387682, recv_packets=373, recv_errs=0, recv_drop=0, send_bytes=457604, send_packets=388, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=1.6227180527383367, nice=0.0, system=2.231237322515213, idle=77.48478701825557, iowait=18.45841784989858, irq=0.0, softirq=0.2028397565922921), 'cpu/cpu0': CPU(label='cpu0', user=1.6227180527383367, nice=0.0, system=2.231237322515213, idle=77.48478701825557, iowait=18.45841784989858, irq=0.0, softirq=0.2028397565922921), 'disk/sda': Disk(label='sda', io_read=391, bytes_read=2514944, time_spent_read=1.2959999999984575, io_write=6, bytes_write=167936, time_spent_write=0.0), 'timestamp': 1546762944.871604, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=0.07, load10=2.57, load15=4.08, running=2, procs=517), 'memory/total': Memory(label='total', total=1501952, used=587060, buffer_cache=135224, free=779668, map=53408), 'net/ens33': Network(label='ens33', recv_bytes=387682, recv_packets=373, recv_errs=0, recv_drop=0, send_bytes=457604, send_packets=388, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=5, bytes_read=49152, time_spent_read=0.07600000000093132, io_write=1, bytes_write=16384, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=375465, recv_packets=296, recv_errs=0, recv_drop=0, send_bytes=11873, send_packets=87, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.6060606060606061, nice=0.0, system=0.20202020202020202, idle=98.18181818181819, iowait=1.0101010101010102, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.6060606060606061, nice=0.0, system=0.20202020202020202, idle=98.18181818181819, iowait=1.0101010101010102, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=5, bytes_read=49152, time_spent_read=0.07600000000093132, io_write=1, bytes_write=16384, time_spent_write=0.0), 'timestamp': 1546762944.895634, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=0.02, load10=2.01, load15=3.56, running=1, procs=513), 'memory/total': Memory(label='total', total=1501952, used=591948, buffer_cache=125324, free=784680, map=54124), 'net/ens33': Network(label='ens33', recv_bytes=375465, recv_packets=296, recv_errs=0, recv_drop=0, send_bytes=11873, send_packets=87, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=424, bytes_read=6549504, time_spent_read=1.6720000000004802, io_write=2, bytes_write=229376, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=5099, recv_packets=39, recv_errs=0, recv_drop=0, send_bytes=9046, send_packets=54, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=81.92771084337349, nice=0.0, system=7.831325301204819, idle=0.40160642570281124, iowait=9.839357429718875, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=81.92771084337349, nice=0.0, system=7.831325301204819, idle=0.40160642570281124, iowait=9.839357429718875, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=424, bytes_read=6549504, time_spent_read=1.6720000000004802, io_write=2, bytes_write=229376, time_spent_write=0.0), 'timestamp': 1546762949.865402, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=0.23, load10=2.56, load15=4.07, running=4, procs=588), 'memory/total': Memory(label='total', total=1501952, used=687088, buffer_cache=140924, free=673940, map=63864), 'net/ens33': Network(label='ens33', recv_bytes=5099, recv_packets=39, recv_errs=0, recv_drop=0, send_bytes=9046, send_packets=54, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=65536, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=1037, recv_packets=12, recv_errs=0, recv_drop=0, send_bytes=3293, send_packets=18, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=0.20161290322580644, nice=0.0, system=0.0, idle=99.79838709677419, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.20161290322580644, nice=0.0, system=0.0, idle=99.79838709677419, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=65536, time_spent_write=0.0), 'timestamp': 1546762949.902444, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=0.01, load10=1.98, load15=3.54, running=1, procs=513), 'memory/total': Memory(label='total', total=1501952, used=591940, buffer_cache=125332, free=784680, map=54124), 'net/ens33': Network(label='ens33', recv_bytes=1037, recv_packets=12, recv_errs=0, recv_drop=0, send_bytes=3293, send_packets=18, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=131, bytes_read=1159168, time_spent_read=0.4639999999999418, io_write=2, bytes_write=258048, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=11012, recv_packets=82, recv_errs=0, recv_drop=0, send_bytes=141484, send_packets=154, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=66.19718309859155, nice=0.0, system=6.237424547283702, idle=25.75452716297787, iowait=1.8108651911468814, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=66.19718309859155, nice=0.0, system=6.237424547283702, idle=25.75452716297787, iowait=1.8108651911468814, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=131, bytes_read=1159168, time_spent_read=0.4639999999999418, io_write=2, bytes_write=258048, time_spent_write=0.0), 'timestamp': 1546762954.864639, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=0.37, load10=2.55, load15=4.05, running=7, procs=640), 'memory/total': Memory(label='total', total=1501952, used=804864, buffer_cache=142208, free=554880, map=64252), 'net/ens33': Network(label='ens33', recv_bytes=11012, recv_packets=82, recv_errs=0, recv_drop=0, send_bytes=141484, send_packets=154, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=55, bytes_read=667648, time_spent_read=0.5599999999994907, io_write=4, bytes_write=16384, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=109951, recv_packets=113, recv_errs=0, recv_drop=0, send_bytes=8936, send_packets=60, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=43.86317907444668, nice=0.0, system=5.030181086519114, idle=43.46076458752515, iowait=7.645875251509055, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=43.86317907444668, nice=0.0, system=5.030181086519114, idle=43.46076458752515, iowait=7.645875251509055, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=55, bytes_read=667648, time_spent_read=0.5599999999994907, io_write=4, bytes_write=16384, time_spent_write=0.0), 'timestamp': 1546762954.907025, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=0.01, load10=1.95, load15=3.52, running=8, procs=559), 'memory/total': Memory(label='total', total=1501952, used=695820, buffer_cache=125884, free=680248, map=64540), 'net/ens33': Network(label='ens33', recv_bytes=109951, recv_packets=113, recv_errs=0, recv_drop=0, send_bytes=8936, send_packets=60, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=19, bytes_read=352256, time_spent_read=0.03200000000106229, io_write=0, bytes_write=0, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=9391, recv_packets=63, recv_errs=0, recv_drop=0, send_bytes=28884, send_packets=67, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=92.21556886227545, nice=0.0, system=7.584830339321357, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'cpu/cpu0': CPU(label='cpu0', user=92.21556886227545, nice=0.0, system=7.584830339321357, idle=0.0, iowait=0.0, irq=0.0, softirq=0.1996007984031936), 'disk/sda': Disk(label='sda', io_read=19, bytes_read=352256, time_spent_read=0.03200000000106229, io_write=0, bytes_write=0, time_spent_write=0.0), 'timestamp': 1546762959.86605, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=1.06, load10=2.66, load15=4.08, running=16, procs=690), 'memory/total': Memory(label='total', total=1501952, used=967716, buffer_cache=142512, free=391724, map=64412), 'net/ens33': Network(label='ens33', recv_bytes=9391, recv_packets=63, recv_errs=0, recv_drop=0, send_bytes=28884, send_packets=67, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=4, bytes_read=49152, time_spent_read=0.01599999999962165, io_write=2, bytes_write=327680, time_spent_write=0.004000000000814907), 'net/total': Network(label='ens33', recv_bytes=12646, recv_packets=33, recv_errs=0, recv_drop=0, send_bytes=7365, send_packets=39, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=91.61676646706587, nice=0.0, system=8.383233532934131, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=91.61676646706587, nice=0.0, system=8.383233532934131, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=4, bytes_read=49152, time_spent_read=0.01599999999962165, io_write=2, bytes_write=327680, time_spent_write=0.004000000000814907), 'timestamp': 1546762959.912158, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=0.89, load10=2.1, load15=3.56, running=17, procs=633), 'memory/total': Memory(label='total', total=1501952, used=879172, buffer_cache=126364, free=496416, map=64908), 'net/ens33': Network(label='ens33', recv_bytes=12646, recv_packets=33, recv_errs=0, recv_drop=0, send_bytes=7365, send_packets=39, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=12, bytes_read=90112, time_spent_read=0.4919999999983702, io_write=2, bytes_write=241664, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=8911, recv_packets=65, recv_errs=0, recv_drop=0, send_bytes=13008, send_packets=68, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=94.0119760479042, nice=0.0, system=5.9880239520958085, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=94.0119760479042, nice=0.0, system=5.9880239520958085, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=12, bytes_read=90112, time_spent_read=0.4919999999983702, io_write=2, bytes_write=241664, time_spent_write=0.0), 'timestamp': 1546762964.871329, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=2.1, load10=2.84, load15=4.13, running=19, procs=704), 'memory/total': Memory(label='total', total=1501952, used=1051920, buffer_cache=142628, free=307404, map=64412), 'net/ens33': Network(label='ens33', recv_bytes=8911, recv_packets=65, recv_errs=0, recv_drop=0, send_bytes=13008, send_packets=68, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=3, bytes_write=290816, time_spent_write=0.004000000000814907), 'net/total': Network(label='ens33', recv_bytes=2588, recv_packets=23, recv_errs=0, recv_drop=0, send_bytes=6418, send_packets=33, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=95.2, nice=0.0, system=4.6, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2), 'cpu/cpu0': CPU(label='cpu0', user=95.2, nice=0.0, system=4.6, idle=0.0, iowait=0.0, irq=0.0, softirq=0.2), 'disk/sda': Disk(label='sda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=3, bytes_write=290816, time_spent_write=0.004000000000814907), 'timestamp': 1546762964.918852, 'hostname': 'hadoop2', 'proc': Proc(label='total', load5=2.34, load10=2.38, load15=3.65, running=18, procs=638), 'memory/total': Memory(label='total', total=1501952, used=988912, buffer_cache=126464, free=386576, map=65048), 'net/ens33': Network(label='ens33', recv_bytes=2588, recv_packets=23, recv_errs=0, recv_drop=0, send_bytes=6418, send_packets=33, send_errs=0, send_drop=0)}
{'disk/total': Disk(label='sda', io_read=36, bytes_read=204800, time_spent_read=0.7520000000004075, io_write=3, bytes_write=118784, time_spent_write=0.0), 'net/total': Network(label='ens33', recv_bytes=12927, recv_packets=101, recv_errs=0, recv_drop=0, send_bytes=58542, send_packets=134, send_errs=0, send_drop=0), 'cpu/total': CPU(label='total', user=95.59118236472946, nice=0.0, system=4.408817635270541, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=95.59118236472946, nice=0.0, system=4.408817635270541, idle=0.0, iowait=0.0, irq=0.0, softirq=0.0), 'disk/sda': Disk(label='sda', io_read=36, bytes_read=204800, time_spent_read=0.7520000000004075, io_write=3, bytes_write=118784, time_spent_write=0.0), 'timestamp': 1546762969.840807, 'hostname': 'hadoop3', 'proc': Proc(label='total', load5=2.97, load10=3.01, load15=4.18, running=13, procs=712), 'memory/total': Memory(label='total', total=1501952, used=1044348, buffer_cache=142872, free=314732, map=64388), 'net/ens33': Network(label='ens33', recv_bytes=12927, recv_packets=101, recv_errs=0, recv_drop=0, send_bytes=58542, send_packets=134, send_errs=0, send_drop=0)}
